0.0000000000  16.8054447198 -8.6212787515 -7.4093167771 -4.0087030928 2.9088849957 -6.0449077914
0.0000000001  19.2628626746 -9.1033171265   -2.0451250026   -2.3199306578  3.0254502801   -1.5960041255
0.0000000002  16.2142954214 -20.3847360192  1.5069305436    0.5520022900   1.9556476134   1.6639733049
0.0000000003  11.8291385122 -24.0890032092  1.3135245327    -2.9622500268  -1.0778688727  7.5660362604
0.0000000004  36.2231548356 -25.0404067841  -4.1044908408   0.2999371507   -4.3285709778  15.8634296238
0.0000000005  72.6928055444 -10.0567508975  -4.4223938759   3.5095891014   -2.5763418914  10.7229457291
0.0000000006  58.5781167066 16.1661843222   4.6497032144    -2.9388732773  -0.0913999210  -0.9428298711
0.0000000007  17.8094615961 9.5854016317    8.5265951835    -2.6926400191  -0.3100900986  -4.0121173267
0.0000000008  18.5112254379 -7.0031713979   9.8235703728    -2.6661913426  2.0602124857   -7.7580628667
0.0000000009  23.0823529542 -14.5143031621  3.1124147482    -3.3210364832  3.2568867329   -7.7773866517
0.0000000010  19.8445990867 -14.6770800966  -11.4722686306  -4.9057699434  1.6361503889   -5.4011079687
