  13.24904   15.84588   44.61109   83.74979   72.30750   20.81549   20.33050   28.66630   22.94066   15.74479   17.07166  -21.04408  -26.44872  -27.22489  -16.31511   11.94541   22.14032   -3.57369  -18.31354  -18.75948  -12.24828   -9.27635 
  17.07166   13.72950   24.04787   61.44396   85.63980   53.04606   18.08196   26.02601   28.90966   25.92784   22.50146   -9.27635  -23.62363  -29.95370  -27.44268    6.33989   29.35358    3.76130  -16.05071  -18.32819  -12.86319   -9.59397 
  22.50146   10.77944   23.12835   75.30853   82.75206   36.72949   21.70947   26.84509   27.47938   26.03118   21.37564   -9.59397  -23.94349  -29.53115  -23.32638   -7.76029   21.68684    2.06119  -17.64634  -15.26325  -13.33761  -17.51304 
  21.37564    9.96199   35.08084   84.17916   68.93230   28.23951   22.54791   33.27383   26.54774   25.09653   21.30561  -17.51304  -24.46569  -27.81168  -21.74321    1.09497   20.61333   -2.98768  -17.28568  -15.25887   -5.50151  -19.33352 
  21.30561    9.46813   38.85333   77.43740   55.43565   21.71640   25.13433   27.51785   20.14130   23.88264   18.58371  -19.33352  -25.73079  -31.43607  -28.54476    4.18722   16.25713   -8.37870  -20.65586  -12.13043  -11.41978  -22.61889 
  18.58371   13.37466   48.56027   77.93129   38.17115   17.93841   22.47260   22.04774   16.80544   19.26286   16.21430  -22.61889  -30.97239  -33.77267  -23.28357   10.32707    7.15024  -14.64762  -13.97136   -8.62128   -9.10332  -20.38474 
  16.80544   19.26286   16.21430   11.82914   36.22315   72.69281   58.57812   17.80946   18.51123   23.08235   19.84460   -8.62128   -9.10332  -20.38474  -24.08900  -25.04041  -10.05675   16.16618    9.58540   -7.00317  -14.51430  -14.67708 
  16.15839   17.65655   14.61102   31.16507   75.03202   52.89498   22.05599   14.80524   22.76149   26.57627   20.32856   -7.12160   -7.32262  -26.55319  -28.04367  -21.16170   11.93646   15.83909    0.74828   -9.21107  -14.31541   -8.06098 
  20.32856   19.07891   12.74624   16.36913   54.65027   76.66082   30.95240   15.13736   11.52039   25.72504   25.21273   -8.06098   -4.35372  -17.91553  -32.99906  -30.23108  -10.19592   16.78904    6.73915   -0.37386  -11.60314  -16.30128 
  16.88102    9.99827   25.44847   65.97421   70.99274   30.23830   10.49633   10.11723   21.08457   30.94748   18.64120   -7.39506  -22.46820  -31.56714  -31.47561  -12.18448   15.43095    6.82085    1.10348   -9.55476  -17.04576  -12.72097 
